<CHAPTER	RgFwOr	<CHAPTER
ID=1>	RgFwOr	<unknown>
Επαvάληψη	NoCmFeSgAc	Επαvάληψη
της	AtDfFeSgGe	ο
συvσδoυ	NoCmNeSgGe	<unknown>
<SPEAKER	RgFwOr	<SPEAKER
ID=1	DIG	ID=1
NAME="Πρόεδρος">	RgFwOr	<unknown>
Κηρύσσω	VbMnIdPr01SgIpAv	Κηρύσσω
την	AtDfFeSgAc	ο
επανάληψη	NoCmFeSgAc	επανάληψη
της	AtDfFeSgGe	ο
συνόδου	NoCmFeSgGe	σύνοδος
του	AtDfNeSgGe	ο
Ευρωπαϊκού	AjBaNeSgGe	ευρωπαϊκός
Κοινοβουλίου	NoCmNeSgGe	κοινοβούλιο
η	AtDfFeSgNm	ο
οποία	PnReFe03SgNm	οποίος
είχε	VbMnIdPa03SgIpAv	έχω
διακοπεί	VbMnNfPePv	διακόπτω
την	AtDfFeSgAc	ο
Παρασκευή	DATE	Παρασκευή
17_Δεκεμβρίου	DATE	17_Δεκεμβρίου
και	CjCo	και
σας	PnPeMa02PlGeWe	εγώ
απευθύνω	VbMnId01SgPeAv	απευθύνω
ξανά	AdBa	ξανά
τις	AtDfFePlAc	ο
θερμές	AjBaFePlAc	θερμός
ευχές	NoCmFePlAc	ευχή
μου	PnPoMa01SgGe	μου
,	COMMA	,
ελπίζοντας	VbMnPpIpAv	ελπίζω
να	PtSj	να
περάσατε	VbMnIdPa02PlPeAv	περνάω
καλά	AdBa	καλά
στις	AsPpPaFePlAc	στου
διακοπές	NoCmFePlAc	διακοπή
.	SENT	.

<P>	RgFwOr	<unknown>
Όπως	AdBa	όπως
μπορέσατε	VbMnIdPa02PlPeAv	μπορώ
να	PtSj	να
διαπιστώσετε	VbMnId02PlPeAv	διαπιστώνω
,	COMMA	,
ο	AtDfMaSgNm	ο
περίφημος	AjBaMaSgNm	περίφημος
"	QUOT	"
ιός	NoCmMaSgNm	ιός
του	AtDfNeSgGe	ο
έτους	NoCmNeSgGe	έτος
2000	DIG	2000
"	QUOT	"
δεν	PtNg	δεν
εμφανίσθηκε	VbMnIdPa03SgPePv	εμφανίζω
.	SENT	.

Αντιθέτως	AdBa	αντίθετα
,	COMMA	,
οι	AtDfMaPlNm	ο
πολίτες	NoCmMaPlNm	πολίτης
ορισμένων	AjBaFePlGe	ορισμένος
χωρών	NoCmFePlGe	χώρα
μας	PnPoMa01PlGe	μου
υπήρξαν	VbMnIdPa03PlPeAv	υπάρχω
θύματα	NoCmNePlNm	θύμα
φυσικών	AjBaFePlGe	φυσικός
καταστροφών	NoCmFePlGe	καταστροφή
,	COMMA	,
οι	AtDfFePlNm	ο
οποίες	PnReFe03PlNm	οποίος
ήταν	VbMnIdPa03PlIpPv	είμαι
όντως	AdBa	όντως
φοβερές	AjBaFePlNm	φοβερός
.	SENT	.

Επιθυμείτε	VbMnIdPr02PlIpAv	επιθυμώ
μία	AtIdFeSgAc	ένας
συζήτηση	NoCmFeSgAc	συζήτηση
επί	AsPpSp	επί
του	AtDfNeSgGe	ο
θέματος	NoCmNeSgGe	θέμα
τις	AtDfFePlAc	ο
επόμενες	AjBaFePlAc	επόμενος
ημέρες	NoCmFePlAc	ημέρα
,	COMMA	,
κατά	AsPpSp	κατά
τη	AtDfFeSgAc	ο
διάρκεια	NoCmFeSgAc	διάρκεια
της	AtDfFeSgGe	ο
τρέχουσας	AjBaFeSgGe	τρέχων
περιόδου	NoCmFeSgGe	περίοδος
συνόδου	NoCmFeSgGe	σύνοδος
.	SENT	.

Επί	AsPpSp	επί
του	AtDfNeSgGe	ο
παρόντος	NoCmNeSgGe	παρόν
θα	PtFu	θα
ήθελα	VbMnIdPa01SgIpAv	θέλω
,	COMMA	,
όπως	AdBa	όπως
μου	PnPeMa01SgGeWe	εγώ
ζήτησαν	VbMnIdPa03PlPeAv	ζητάω
ορισμένοι	AjBaMaPlNm	ορισμένος
συνάδελφοι	NoCmMaPlNm	συνάδελφος
,	COMMA	,
να	PtSj	να
τηρήσουμε	VbMnId01PlPeAv	τηρώ
ενός	AtIdNeSgGe	ένας
λεπτού	NoCmNeSgGe	λεπτό
σιγή	NoCmFeSgAc	σιγή
για	AsPpSp	για
όλα	AjBaNePlAc	όλος
τα	AtDfNePlAc	ο
θύματα	NoCmNePlAc	θύμα
,	COMMA	,
κυρίως	AdBa	κυρίως
για	AsPpSp	για
τα	AtDfNePlAc	ο
θύματα	NoCmNePlAc	θύμα
των	AtDfFePlGe	ο
καταιγίδων	NoCmFePlGe	καταιγίδων
,	COMMA	,
στις	AsPpPaFePlAc	στου
διάφορες	AjBaFePlAc	διάφορος
πληγείσες	AjBaFePlAc	πληγείς
χώρες	NoCmFePlAc	χώρα
της	AtDfFeSgGe	ο
Ευρωπαϊκής	AjBaFeSgGe	ευρωπαϊκός
Ένωσης	NoCmFeSgGe	ένωση
.	SENT	.

Σας	PnPeMa02PlAcWe	εγώ
καλώ	VbMnIdPr01SgIpAv	καλώ
να	PtSj	να
σηκωθείτε	VbMnId02PlPePv	σηκώνω
για	AsPpSp	για
αυτή	PnDmFe03SgAc	αυτός
την	AtDfFeSgAc	ο
ενός	AtIdNeSgGe	ένας
λεπτού	NoCmNeSgGe	λεπτό
σιγή	NoCmFeSgAc	σιγή
.	SENT	.

<P>	RgFwOr	<unknown>
(	PARLEFT	(
Το	AtDfNeSgNm	ο
Σώμα	NoCmNeSgNm	σώμα
,	COMMA	,
όρθιο	NoCmNeSgAc	όρθιο
,	COMMA	,
τηρεί	VbMnIdPr03SgIpAv	τηρώ
ενός	AtIdNeSgGe	ένας
λεπτού	NoCmNeSgGe	λεπτό
σιγή	NoCmFeSgAc	σιγή
)	PARRIGHT	)
<SPEAKER	RgFwOr	<SPEAKER
ID=2	DIG	ID=2
NAME="Εvans	RgFwOr	<unknown>
,	COMMA	,
Robert	RgFwOr	Robert
J">	RgFwOr	<unknown>
Kυρία	NoCmFeSgAc	Kυρία
Πρόεδρε	VbMnIdPa03SgPeAv	<unknown>
,	COMMA	,
επί	AsPpSp	επί
ενός	AtIdNeSgGe	ένας
θέματος	NoCmNeSgGe	θέμα
διαδικασίας	NoCmFeSgGe	διαδικασία
.	SENT	.

Θα	PtFu	θα
έχετε	VbMnIdPr02PlIpAv	έχω
ενημερωθεί	VbMnNfPePv	ενημερώνω
από	AsPpSp	από
τον	AtDfMaSgAc	ο
τύπο	NoCmMaSgAc	τύπος
και	CjCo	και
την	AtDfFeSgAc	ο
τηλεόραση	NoCmFeSgAc	τηλεόραση
ότι	CjSb	ότι
συνέβησαν	VbMnIdPa03PlPeAv	συμβαίνω
ορισμένες	AjBaFePlNm	ορισμένος
εκρήξεις	NoCmFePlAc	έκρηξη
βομβών	NoCmFePlGe	βόμβη
και	CjCo	και
φόνοι	NoCmMaPlNm	φόνος
στη	AsPpPaFeSgAc	στου
Σρι	RgFwTr	Σρι
Λάνκα	RgFwTr	Λάνκα
.	SENT	.

Ένας	NmCdMaSgNmAj	ένας
από	AsPpSp	από
τους	AtDfMaPlAc	ο
ανθρώπους	NoCmMaPlAc	άνθρωπος
που	PnReMa03PlAc	που
δολοφονήθηκαν	VbMnIdPa03PlPePv	δολοφονώ
πολύ	AdBa	πολύ
πρόσφατα	AdBa	πρόσφατα
στη	AsPpPaFeSgAc	στου
Σρι	RgFwTr	Σρι
Λάνκα	RgFwTr	Λάνκα
ήταν	VbMnIdPa03SgIpPv	είμαι
ο	AtDfMaSgNm	ο
κ.	INIT	κ.
Kumar	RgFwOr	Kumar
Ponnambalam	RgFwOr	Ponnambalam
,	COMMA	,
ο	AtDfMaSgNm	ο
οποίος	PnReMa03SgNm	οποίος
είχε	VbMnIdPa03SgIpAv	έχω
επισκεφθεί	VbMnNfPePv	επισκέπτομαι
το	AtDfNeSgNm	ο
Ευρωπαϊκό	AjBaNeSgNm	ευρωπαϊκός
Κοινοβούλιο	NoCmNeSgNm	κοινοβούλιο
μόλις	AdBa	μόλις
πριν	AdBa	πριν
λίγους	AjBaMaPlAc	λίγος
μήνες	NoCmMaPlAc	μήνας
.	SENT	.

Θα	PtFu	θα
το	PnPeNe03SgAcWe	εγώ
θεωρούσατε	VbMnIdPa02PlIpAv	θεωρώ
σωστό	AjBaNeSgNm	σωστός
,	COMMA	,
κυρία	NoCmFeSgAc	κυρία
Πρόεδρε	VbMnIdPa03SgPeAv	<unknown>
,	COMMA	,
να	PtSj	να
γράψετε	VbMnId02PlPeAv	γράφω
μία	AtIdFeSgAc	ένας
